Titre,Prénoms auteuricexs,Anciennes catégories,Nouvelles catégories,Langues,ID,Créé le,Modifié le,Noms auteuricexs,Commentaires,Nombre exemplaires
L’haleine des faubourgs - Ville; habitat et santé au XIXème siècle,,38,,FR,332,2023-01-04,2023-01-04,COLLECTIF,,1
Genres & Classes – L’insurrection généralisée qui détruira les hommes et les femmes,Incendo,38,,FR,333,2023-01-04,2023-01-04,COLLECTIF,,1
Les fleurs coupées - Témoignages de femmes excisées,GAMS Rhône-Alpes,40,,FR,334,2023-01-04,2023-01-04,COLLECTIF,,1
Seveso est partout,Groupe de travail Seveso,,,FR,335,2023-01-04,2023-01-04,COLLECTIF,,1
Les gens normaux – Paroles lesbiennes gay bi trans,,42,L,FR,336,2023-01-04,2023-07-26,COLLECTIF,,1
À cases égales - Des créatrices de BD romandes planchent sur l’égalité,La Bûche,27; 42,L,FR,337,2023-01-04,2023-07-26,COLLECTIF,,1
Afrofem,Mwasi,20,A; A2; A2a,FR,338,2023-01-04,2023-01-23,COLLECTIF,,2
Manifeste Xénoféministe,Laboria Cuboniks,25,A,FR,339,2023-01-04,2023-01-04,COLLECTIF,,1
Hormones et parcours trans,Outrans,2,B,FR,340,2023-01-04,2023-07-30,COLLECTIF,Brochure,2
Moi; Tituba sorcière…,Maryse,24,,FR,342,2023-01-04,2023-01-04,CONDÉ,,2
Déambulante,Marie-Aurore,42,,FR,343,2023-01-04,2023-01-04,CONSCIENCE,,1
Maria Nikiforova La révolution sans attendre - L’épopée d’une anarchiste à travers l’Ukraine (1885-1919),Mila,22,U; Z,FR,344,2023-01-04,2023-07-19,COTLENKO,anarchisme,1
Le miroir aux alouettes,Benoîte,24,,FR,345,2023-01-04,2023-01-04,CREVOISIER,,1
Une autobiographie transsexuelle (avec des vampires),Lizzie,24,,FR,346,2023-01-04,2023-01-04,CROWDAGGER,,1
Indira Gandhi,Anne,22,U,FR,347,2023-01-04,2023-07-19,CUBLIER,,1
Décolonisons les arts !,Leïla; Gerty; Françoise; Kader; Marine; Rébecca; Myriam; Eva; Daïa; Karima; Amandine; Mohamed; D’de; Hasane; Jalil; Olivier; Pascale; Sandra,11,,FR,348,2023-01-04,2023-01-04,CUKIERMAN (dir); DAMBURY (dir); VERGÈS (dir); ATTIA; BACHELOT NGUYEN; CHAILLON; DAO; DOUMBIA; DURIMEL; EL KHARRAZE; GAY; GUELLATI; KABAL; KASSI KOUYATÉ; LECLAIRE; MARBOEUF; OBOLO; SAINTE ROSE FANCHINE,,1
le vrai sexe de la vie,,18,,FR,349,2023-01-04,2023-01-04,CY,,1
Recueillir la parole de l’enfant témoin ou victime – De la théorie à la pratique,Mireille,12,,FR,350,2023-01-04,2023-01-04,CYR,,1
Toutes les fois ou je me suis dit… Je suis gay,Eleanor,42,L; E; E4,FR,351,2023-01-04,2023-07-26,CREWES,,1
Discours sur le colonialisme; Discours sur la Négritude,Aimé,16,C,FR,353,2023-01-04,2023-04-06,CÉSAIRE,DISCOURS,1
Tempête dans la famille – Les enfants et la violence (2ème édition),Isabelle; Louis-François; Jean-François,12,,FR,354,2023-01-04,2023-01-04,CÔTÉ; DALLAIRE; VÉZINA,,1
L’oiseau captif,Jasmin,22,U,FR,355,2023-01-04,2023-07-19,DARNZIK,,1
Ils vécurent heureux et n’eurent pas d’enfants,Meghan,40,,FR,356,2023-01-04,2023-01-04,DAUM (dir.),,1
La prison est-elle obsolète?,Angela,13,Q; Q1,FR,357,2023-01-04,2023-01-16,DAVIS,,1
Femmes race et classe,Angela,20,A; A2; A2a,FR,358,2023-01-04,2023-01-23,DAVIS,,1
Sur la liberté  - Petite anthologie de l’émancipation,Angela,20,A; A2; A2a,FR,359,2023-01-04,2023-01-23,DAVIS,,1
Angela Davis – Autobiographie,Angela,16; 20; 22,U,FR,360,2023-01-04,2023-07-19,DAVIS,,1
La Vieillesse,Simone,1,E; E7,FR,361,2023-01-04,2023-01-16,DE BEAUVOIR,,1
Le deuxième sexe; I - Les faits et les mythes,Simone,21,,FR,362,2023-01-04,2023-01-04,DE BEAUVOIR,,1
Le deuxiéme sexe; II - L’expérience vécue,Simone,21,,FR,363,2023-01-04,2023-01-04,DE BEAUVOIR,,1
Périnée : Arrêtez le massacre ! - Comment prévenir et réparer les erreurs,Dr Bernadette,1,G; G2; G4,FR,364,2023-01-04,2023-01-16,DE GASQUET,,1
MOH : Palestinien mais presque,Céline; François,36,L; Q1; Z,FR,365,2023-01-04,2023-04-06,DE GEMMIS; BEGNEZ,Tri?,1
L’Âge; le désir & l’amour,Marie,33; 43,,FR,367,2023-01-04,2023-01-04,DE HENNEZEL,,1
Viviane Elisabeth Fauville,Julia,24,,FR,368,2023-01-04,2023-01-04,DECK,,1
La révolte des Nonnes - Poitiers 589,Régine,24,,FR,369,2023-01-04,2023-01-04,DEFORGES,,1
Les Filles du cahier volé,Régine; Manon,22,U; E; E4,FR,370,2023-01-04,2023-07-19,DEFORGES; ABAUZIT,,1
Ainsi furent-elles - Destins au féminin,Valy,22,U,FR,371,2023-01-04,2023-07-19,DEGOUMOIS,,1
Oui je sais qu’un bonhomme a marché sur la lune mais c’est quand même très vague,Françine; Catherine,1,G; G3; G4; G7; E; E7,FR,372,2023-01-04,2023-01-16,DEL COSO; MEYER,avec CD: un regard sur la vieillesse,1
Droits des femmes; tout peut disparaître,Pauline,21,,FR,373,2023-01-04,2023-01-04,DELAGE,,1
Des battements de coeur,Lucie,24,J,FR,374,2023-01-04,2023-10-25,DELARUE-MARDRUS,NOUVELLES ; PIVE (PAULETTE),1
Le coeur synthétique,Chloé,24,,FR,375,2023-01-04,2023-01-04,DELAUME,,1
Une femme,Anne,22,U; W,FR,376,2023-01-04,2023-07-19,DELBEE,donner 2 exemplaires!,3
« Les homosexuels sont un danger absolu » - Homosexualité masculine en Suisse durant la Seconde Guerre Mondiale,Thierry,19,E; E4; G; G7; O; O1,FR,377,2023-01-04,2023-01-13,DELESSERT,,1
Le corps est une chimère,Wendy,24,,FR,378,2023-01-04,2023-01-04,DELORME,,1
Algérienne 1954-1962,,36,L; A; A2; A2d,FR,379,2023-01-04,2023-04-06,DELOUPY; MERALLI,ROMAN GRAPHIQUE,1
Un troussage de domestique,Christine,15,A; A4,FR,380,2023-01-04,2023-07-12,DELPHY,,1
Le boys club,Martine,37,,FR,382,2023-01-04,2023-01-04,DELVAUX,,1
Ce corps n’était pas le mien - Histoire d’une transition tant attendue,Béatrice,2,B,FR,383,2023-01-04,2023-07-30,DENAES,,1
Les sept vies de Louise Croisier née Moraz - tome 1,Suzanne,24,,FR,384,2023-01-04,2023-01-04,DERIEX,,2
Femmes publiques - Les féminismes à l’épreuve de la prostitution,Catherine; Anne,4,,FR,385,2023-01-04,2023-01-04,DESCHAMPS; SOUYRIS,,2
Mariages et homosexualités dans le monde - L’arrangement des normes familiales,Virginie; Marie; Eric; Wilfried,19,F; F5; H,FR,386,2023-01-04,2023-01-13,DESCOUTURES; DIGOIX; FASSIN; RAULT,,1
King kong théorie,Virginie,24,A; U,FR,387,2023-01-04,2023-10-20,DESPENTES,,1
Apocalypse Bébé,Virginie,24,,FR,388,2023-01-04,2023-01-04,DESPENTES,,1
Baise-moi,Virginie,24,,FR,389,2023-01-04,2023-01-04,DESPENTES,,1
Bye bye Blondie,Virginie,24,J,FR,390,2023-01-04,2023-09-06,DESPENTES,,2
Les jolies choses,Virginie,24,,FR,391,2023-01-04,2023-09-06,DESPENTES,,2
Vernon Subutex 1,Virginie,24,,FR,392,2023-01-04,2023-01-04,DESPENTES,,2
Vernon Subutex 3,Virginie,24,,FR,393,2023-01-04,2023-01-04,DESPENTES,,2
Vernon Subutex 2,Virginie,24,,FR,394,2023-01-04,2023-01-04,DESPENTES,,2
Mordre au travers - Nouvelles,Virginie,24,,FR,395,2023-01-04,2023-01-04,DESPENTES,,2
Satin grenadine,Marie,24,,FR,396,2023-01-04,2023-01-04,DESPLECHIN,,1
La construction sociale du corps,Christine,6,,FR,397,2023-01-04,2023-01-04,DÉTREZ,,1
On ne naît pas grosse,Gabrielle,6,,FR,398,2023-01-04,2023-01-04,DEYDIER,,2
Fragilité blanche - Ce racisme que les blancs ne voient pas,Robin,16,C,FR,399,2023-01-04,2023-04-06,DIANGELO,,1
La thèse du complot contre l’Afrique – Pourquoi l’Afrique ne se développe pas,Fweley,16,C,FR,400,2023-01-04,2023-04-06,DIANGITUKWA,,2
Mémoire de l'esclavage tome 1: Bulambemba,S.,42,L; C,FR,401,2023-01-04,2023-07-26,DIANTANTU,,1
Féminismes africains – une histoire décoloniale,Rama Salla,2; 20,A; A2; A2a,FR,402,2023-01-04,2023-01-23,DIENG,,1
Te dire ou,Sara,10,,FR,403,2023-01-04,2023-01-04,DIGNARD,,1
The revenge of Hothead Paisan – Homicidal Lesbian Terrorist,Diane,42; 19,L,FR,404,2023-01-04,2023-07-26,DIMASSA,,1
Mères,Théodora,24,,FR,405,2023-01-04,2023-01-04,DIMOVA,,1
Celles qui attendent,Fatou,24,,FR,406,2023-01-04,2023-01-04,DIOME,,2
Le ventre de l’Atlantique,Fatou,24,,FR,407,2023-01-04,2023-01-04,DIOME,,1
Et pourtant elles dansent…,Vincent,42,L,FR,408,2023-01-04,2023-07-26,DJINDA,,1
Prison n°5,Zehra,13; 36; 40; 42,L; Q,FR,409,2023-01-04,2023-07-26,DOGAN,,1
Fin d’éclipse,Suzy,24,,FR,410,2023-01-04,2023-01-04,DOLEYRES,,1
Sexe; genre et sexualités - Introduction à la théorie féministe,Elsa,2,A,FR,411,2023-01-04,2023-07-30,DORLIN,,1
Se défendre - Une philosophie de la violence,Elsa,32,,FR,412,2023-01-04,2023-01-04,DORLIN,,2
Putain de vies ! - Itinéraires de travailleuses du sexe,Muriel,4; 42,L; O; O1,FR,413,2023-01-04,2023-07-26,DOURU,,1
Sortir de l’hétérosexualité,Juliet,19,F; H; A,FR,414,2023-01-04,2023-01-13,DROUAR,,1
Plantes tinctoriales 2 - Du jardin à la cuve,Danièla,1,P; P1,FR,416,2023-01-04,2023-01-16,DUCREST,ZINE,1
Ail et oignons; du mythe à la gastronomie,Danièla; Mary-Claude; Gino,1,P; P1,FR,417,2023-01-04,2023-01-16,DUCREST;ROBERT;MÜLLER,ZINE,1
Après la pluie – Horizons économistes,Solène; Alice,39,,FR,418,2023-01-04,2023-01-04,DUCRÉTOT; JEHAN,,1
L’invention du fœtus - Le corps féminin comme lieu public,Barbara,3,G; G1,FR,419,2023-01-04,2023-07-19,DUDEN,,1
La dispersion - Une histoire des usages du mot diaspora,Stéphane,16,C,FR,420,2023-01-04,2023-04-06,DUFOIX,,1
Guide des métiers pour les petites filles qui ne veulent pas finir princesses,Catherine,12,,FR,421,2023-01-04,2023-01-04,DUFOUR,,1
Nous n’irons plus aux urnes - Plaidoyer pour l’abstention,Francis,25,,FR,422,2023-01-04,2023-01-04,DUPUIS-DÉRI,,1
La crise de la masculinité - Autopsie d’un mythe tenace,Francis,37,A; A6; A1,FR,423,2023-01-04,2023-07-12,DUPUIS-DÉRI,,1
Le féminisme ou la mort,Françoise,39,,FR,424,2023-01-04,2023-01-04,D'EAUBONNE,,1
La construction sociale du corps,Christine,6,,FR,425,2023-01-04,2023-01-04,DÉTREZ,,1
L’art de se soumettre,Dossie; Janet,18,,FR,426,2023-01-04,2023-01-04,EASTON; HARDY,,1
Excessives ! -  Destins de femmes incroyables au XIXème siècle,Louise,22,U; W,FR,427,2023-01-04,2023-07-19,EBEL,,1
Les gros mots – abédécaire joyeusement moderne du féminisme,Clarence,31,A; V,FR,428,2023-01-04,2023-01-16,EDGARD-ROSA,ABÉCÉDAIRE,1
Théorie générale de l’oubli,José Eduardo,24,,FR,429,2023-01-04,2023-01-04,EDUARDO AGUALUSA,,1
Lettre à une noire,Françoise,22,C; D,FR,430,2023-01-04,2023-01-11,EGA,,1
Fragiles ou contagieuses; le pouvoir médical et le corps des femmes,Barbara; Deirdre,38,,FR,431,2023-01-04,2023-01-04,EHRENREICH; ENGLISH,,1
La mort par les plantes - Glossaire des plantes toxiques & de leur utilisation à l’usage du malfaiteur asthénique,Helmut,1; 7,,FR,432,2023-01-04,2023-01-04,EISENDLE,,1
Les INCOMPRISES,Laura; Pierre,22,U,FR,433,2023-01-04,2023-07-19,EL MAKKI; GRILLET,,1
Femmes de sable et de myrrhe,Hanan,24,,FR,434,2023-01-04,2023-01-04,EL-CHEIKH,,1
Toute une histoire,Hanan,24,,FR,435,2023-01-04,2023-01-04,EL-CHEIKH,,1
Fuck le patriarcat ! - Les 7 péchés pour prendre le pouvoir,Mona,20,A,FR,436,2023-01-04,2023-01-23,ELTAHAWY,,1
Le goût du baiser,Camille,14; 24,E; J; N,FR,437,2023-01-04,2023-01-11,EMANUELLE,,1
Citoyen de seconde zone,Buchi,24,,FR,438,2023-01-04,2023-01-04,EMECHETA,,1
Des princes pas si charmants - Et autres illusions à dissiper ensemble,,42,L,FR,439,2023-01-04,2023-07-26,EMMA,,1
Un autre regard 2,,42,L,FR,440,2023-01-04,2023-07-26,EMMA,,1
Lettre à celle qui lit mes romances érotiques; et qui devrait arrêter tout de suites,Camille,18,,FR,441,2023-01-04,2023-01-04,EMMANUELLE,,1
Le silence même n’est plus à toi,Asli,22,U,FR,442,2023-01-04,2023-07-19,ERDOGAN,,1
La place,Annie,22,U,FR,443,2023-01-04,2024-10-09,ERNAUX,,1
Insoumises,Conceiçâo,20,A; A2; A2a,FR,444,2023-01-04,2023-01-23,EVARISTO,,1
La béance,Sandrine,24,,FR,445,2023-01-04,2023-01-04,FABBRI,,1
Fille; femme; autre,Bernadine,20; 24,A; A2; J,FR,446,2023-01-04,2023-01-11,EVARISTO,,2
Les damnés de la terre,Frantz,16,C,FR,447,2023-01-04,2023-04-06,FANON,ESSAI,1
Née de la côte d'Adam,Nuruddin,24,,FR,448,2023-01-04,2023-01-04,FARAH,,1
L’inversion de la question homosexuelle,Eric,19,A; F; H,FR,449,2023-01-04,2023-01-13,FASSIN,,1
Lorsque je me suis relevée; j’ai pris mon fusil – Imaginer la violence des femmes,Valentine,15,A; A5,FR,450,2023-01-04,2023-07-12,FAURE,aussi U?,1
Le courage qu’il faut aux rivières,Emmanuelle,24,,FR,451,2023-01-04,2023-01-04,FAVIER,,1
Moi; Adeline; accoucheuse,Adeline,22,U; G; G2,FR,452,2023-01-04,2023-07-19,FAVRE,,1
Un pays dans le ciel,Aiat; Charlotte,29; 42,L; Q; Q4,FR,453,2023-01-04,2023-01-11,FAYEZ; MELLY,,1
Par-delà les frontières du corps,Silvia,6,,FR,454,2023-01-04,2023-01-04,FEDERICI,,1
Le capitalisme patriarcal,Silvia,38,,FR,455,2023-01-04,2023-01-04,FEDERICI,,1
Caliban et la sorcière – Femmes; corps et accumulation primitive,Silvia,38,,FR,456,2023-01-04,2023-01-04,FEDERICI,,3
Une guerre mondiale contre les femmes – Des chasses aux sorcières au féminicide,Silvia,39,,FR,457,2023-01-04,2023-01-04,FEDERICI,,1
Stone Butch Blues,Leslie,22,U; E; E4,FR,458,2023-01-04,2023-07-19,FEINBERG,,2
L’élégance des veuves,Alice,24,,FR,459,2023-01-04,2023-01-04,FERNEY,,1
Marguerite; sage-femme vaudoise ou la naissance autrefois,Josiane,40,G; G2,FR,463,2023-01-04,2023-01-11,FERRARI-CLEMENT,,1
Libertarias – Femmes anarchistes espagnoles,Hélène,25,,FR,466,2023-01-04,2023-01-04,FINET (cor.),,1
La consolation -Récit,Flavie,15,H; H5; U,FR,467,2023-01-04,2023-07-12,FLAMENT,,1
Le problème avec les femmes,Jacky,42,L,FR,468,2023-01-04,2023-07-26,FLEMING,,1
Coming in,Elodie; Carole,42,L; E; E4,FR,469,2023-01-04,2023-07-26,FONT; MAUREL,,1
Les pieds nus,Anouck,42,,FR,470,2023-01-04,2023-01-04,FONTAINE,,1
Journal et lettres de prison,Eva,13,Q; Q1,FR,471,2023-01-04,2023-01-11,FOREST,,1
Les jardins des femmes,Aminata,24,,FR,472,2023-01-04,2023-01-04,FORNA,,1
L’introduction de l’assurance invalidité en Suisse,Virginie,14,,FR,473,2023-01-04,2023-01-04,FRACHEBOUD,,1
Ma terre; mon île - Un ange à ma table; volume I,Janet,24,,FR,474,2023-01-04,2023-01-04,FRAME,,1
Les amantes,Jocelyne,24,,FR,475,2023-01-04,2023-01-04,FRANÇOIS,,1
Persécutions des femmes – Savoirs; mobilisations et protections,Jane; Jérôme,28,,FR,476,2023-01-04,2023-01-04,FREEDMAN (dir); VALLUY (dir),,1
L’empire des femmes – Les femmes ont changé. Elles confient leurs fantasmes sexuels,Nancy,18,,FR,477,2023-01-04,2023-01-04,FRIDAY,,1
Corps suspect; corps déviant,Sylvie; David; Dominique; Martin; Dave; Stuart; Laura; André; Jean-François; Patrice; Chris; Sandra; Isabelle; Jennifer; Claire,6,,FR,478,2023-01-04,2023-01-04,FRIGON (dir.); LE BRETON; ROBERT; DUFRESNE; HOLMES; J.MURRAY; R. SHANTZ; CELLARD; CAUCHIE; CORRIVEAU; BRUCKERT; LEHALLE; PERREAULT; M.KILTY; JENNY,,1
Le chat n’as pas de bouche vous aime beaucoup,Doubleblob,42,L,FR,479,2023-01-04,2023-07-26,FRMK,,1
Mon adolescence trans,P.,19; 22; 42,B; L,FR,480,2023-01-04,2023-01-11,FUMETTIBRUTTI,,1
CRA  - 115 d’hommes séquestrés,Mathieu,13,Q,FR,481,2023-01-04,2023-01-18,GABARD,,1
Mieux qu’un rêve; une grève ! – La grève des femmes du 14 juin 1991 en Suisse,Ursula,27,,FR,482,2023-01-04,2023-01-04,GAILLARD,,3
Retard de règles,Ursula; Annik,3,G; G1,FR,483,2023-01-04,2023-07-19,GAILLARD; MAHAIM,on garde?,1
Éléni; ou personne,Rhéa,22,U; W,FR,484,2023-01-04,2023-07-19,GALANAKI,,1
L'ultime humiliation,Rhéa,24,,FR,485,2023-01-04,2023-01-04,GALANAKI,,1
Matérialisme & zones érogènes – Autobiographie précoce,Patrícia (Pagu),22,U,FR,486,2023-01-04,2023-07-19,GALVÃO,,1
L’insolente – Dialogues avec Pinar Selek,Guillaume,20,,FR,487,2023-01-04,2023-01-04,GAMBLIN,,1
Je suis Sofia,Céline; Maël,42,L; B,FR,488,2023-01-04,2023-07-30,GANDNER; NAHON,,1
Histoire de la misogynie - Le mépris des femmes de l’antiquité à nos jours,Adeline; Bertrand,21,,FR,489,2023-01-04,2023-01-04,GARGAM; LANÇON,,1
Kosovo : la guerre cachée; trois semaines dans la vie des kossovars,Myriam,36,Z,FR,490,2023-01-04,2023-04-06,GAUME,Tri?,1
Avortées clandestines,Xavière,3,G; G1,FR,491,2023-01-04,2023-07-19,GAUTHIER,,1
On les appelait pétroleuses,Xavière,22,U,FR,492,2023-01-04,2023-07-19,GAUTHIER,,1
Hunger – Une histoire de mon corps,Roxane,6,,FR,493,2023-01-04,2023-01-04,GAY,ESSAI,1
Bad feminist,Roxane,20,A,FR,494,2023-01-04,2023-01-23,GAY,,2
Ayiti,Roxane,24,,FR,495,2023-01-04,2023-01-04,GAY,,1
Une poupée en chocolat,Amandine,34,H; H1,FR,496,2023-01-04,2023-07-26,GAY,ESSAI,1
Elles ont été les premières ! - 100 femmes exceptionnelles,Mélina; Suzanne; .; Julie,22,U,FR,498,2023-01-04,2023-07-19,GAZSI; KESTENBERG; GOMARGU; GAYET,,1
L’échec de la non-violence ;; Du printemps arabe à Occupy,Peter,32,Q,FR,499,2023-01-04,2023-07-12,GELDERLOOS,checker la nouvelle catégorie,1
Comment la non-violence protège l’état – Essai sur l’inefficacité des mouvements sociaux,Peter,32,Q,FR,500,2023-01-04,2023-07-12,GELDERLOOS,on savait pas trop quoi mettre comme nouvelle catégorie,1
Le temps d’après,Geneviève; Gertrude; Karin,5,,FR,501,2023-01-04,2023-01-04,GENDRON; HIESTAND; STUEBIG,,1
Tout va bien,Charlie,14; 42,L; N,FR,502,2023-01-04,2023-01-11,GENMOR,,1
Sept ans de pénitence,Nicole,13,Q; Q1,FR,504,2023-01-04,2023-02-08,GERARD,,1
L’enfant méduse,Sylvie,24,,FR,505,2023-01-04,2023-01-04,GERMAIN,,1
Du côté des petites filles,Elena,12,,FR,506,2023-01-04,2023-01-04,GIANINI BELOTTI,,1
Fierce fairytales & other stories to stir your soul,Nikita,39,,FR,507,2023-01-04,2023-01-04,GILL,,1
Domination et violence envers la femme dans le couple,Lucienne; Jacqueline; Véronique,28,,FR,508,2023-01-04,2023-01-04,GILLIOZ; DE PUY; DUCRET,,1
Vivre ma vie,Emma,22,U,FR,509,2023-01-04,2023-07-19,GOLDMAN,anarchisme,1
L’épopée d’une anarchiste - New York 1886- Moscou 1920,Emma,22,U,FR,510,2023-01-04,2023-07-19,GOLDMAN,anarchisme,1
Comme une volière dans la tête,Laurie,10,,FR,511,2023-01-04,2023-01-04,GONARD,,1
Une paysanne entre ferme; marché et associations – Textes d’Augusta Gillabert-Randin 1918-1940,Marthe; Peter,27,,FR,512,2023-01-04,2023-01-04,GOSTELI (dir.); MOSER,,1
Septième étage,Åsa,42,L; A; A4,FR,513,2023-01-04,2023-07-26,GRENNVALL,,1
Mon évasion - Autobiographie,Benoîte,22,U,FR,514,2023-01-04,2023-07-19,GROULT,on garde?,1
Le siècle des féminismes,Eliane; Catherine; Florence; Brigitte; Françoise; Michelle,21,,FR,515,2023-01-04,2023-01-04,GUBIN (dir.); JACQUES; ROCHEFORT; STUDER; THÉBAUD; ZANCARINI-FOURNEL,,1
Sorties - Parcours de cinq détenus,Béatrice,13,Q,FR,516,2023-01-04,2023-01-18,GUELPA,,1
Prisons de femmes – Janine; Janet & Debbie; une histoire américaine,Claude,13,Q; Q1,FR,517,2023-01-04,2023-01-18,GUILLAUMAUD-PUJOL,,1
Hors-la-loi,Julie,24,J,FR,518,2023-01-04,2023-10-25,GUINAND,NOUVELLES ; PIVE (PAULETTE),1
Ah Sissi; il faut souffrir pour être française !,Jo,16,C,FR,519,2023-01-04,2023-04-06,GÜSTIN,,1
Il y a l’antisémitisme,Stéphane,16,C; Z,FR,521,2023-01-04,2023-04-06,HABIB,antisémitisme,1
La morsure du coquelicot,Sarah,25,,FR,522,2023-01-04,2023-01-04,HAIDAR,,1
La cause des femmes,Gisèle,3,G; G1,FR,523,2023-01-04,2023-07-19,HALIMI,donner des exemplaires,3
Soeurs dans la guerre,Sarah,24,J,FR,524,2023-01-04,2023-01-11,HALL,,1
Que veulent les gays ?,David,19,E; E4; F,FR,525,2023-01-04,2023-01-13,HALPERIN,,2
Le sujet du féminisme est-il blanc ? - Femmes racisées et recherche féministe,Naïma; Chantal,20,A; A2,FR,526,2023-01-04,2023-01-23,HAMROUNI; MAILLÉ,,1
Vivre avec le trouble,Donna J.,21; 22,,FR,527,2023-01-04,2023-01-04,HARAWAY,,1
Crazy Brave - Le chant de mes combats,Joy,22,U; C; C1,FR,528,2023-01-04,2023-07-19,HARJO,,1
Moi les hommes; je les déteste,Pauline,37,A; A6,FR,529,2023-01-04,2023-07-12,HARMANGE,,1
La perle et la coquille,Nadia,24,,FR,530,2023-01-04,2023-01-04,HASHIMI,,1
Ceci n’est pas une prison - La maison d’éducation de Vennes. Histoire d’une institution pour garçons délinquants en suisse romande (1805-1846-1987),Geneviève,13,Q,FR,531,2023-01-04,2023-01-18,HELLER,,1
Make love – Une éducation sexuelle,Ann-Marlene; Tina,18,,FR,532,2023-01-04,2023-01-04,HENNING; BREMER-OLSZEWSKI,,1
Prison,Emmy,4; 13,O; O1; Q; Q1,FR,533,2023-01-04,2023-01-11,HENNINGS,,1
Nous et les autres – des préjugés au racisme,Evelyne; Carole,16,C,FR,534,2023-01-04,2023-01-11,HEYER (dir.); REYNAUD PALIGOT,,1
La pensée féministe noire,Patricia,20,A; A2; A2a,FR,535,2023-01-04,2023-01-23,HILL COLLINS,,1
Dictionnaire critique du féminisme,Helena; Françoise; Hélène; Danièle,31,A,FR,536,2023-01-04,2023-01-16,HIRATA (dir.); LABORIE; LE DOARÉ; SENOTIER,,1
Femmes sous emprise – Les ressorts de la violence dans le couple,Marie-France,28,,FR,537,2023-01-04,2023-01-04,HIRIGOYEN,,1
Le rapport Hite,Shere,18,,FR,538,2023-01-04,2023-01-04,HITE,,1
Vivre avec le syndrome d’Asperger - Un handicap invisible au quotidien,Liane,14,,FR,539,2023-01-04,2023-01-04,HOLLIDAY WILLEY,,1
De la marge au centre - Théorie féministe,bell,20,A; A2; A2a,FR,540,2023-01-04,2023-01-23,hooks,,1
Ne suis-je pas une femme ? - Femmes noires et féminisme,bell,20,A; A2; A2a,FR,541,2023-01-04,2023-01-23,hooks,,2
Apprendre à transgresser - L’éducation comme pratique de la liberté,bell,16; 20,C; A; A2,FR,542,2023-01-04,2023-04-06,hooks,,1
En direct de la planète minuit – celle qui s’adresse au peuple blanc,Nalo,24; 16,J; J1; A; A2,FR,543,2023-01-04,2023-01-23,HOPKINSON,NOUVELLES ; SF,1
Basse naissance,Kerry,22,U; D,FR,546,2023-01-04,2023-07-19,HUDSON,,1
La panthère et le fouet,Langston,10,C; K,FR,547,2023-01-04,2023-01-11,HUGHES,,1
Le commerce des pissotières,Laud,19,E; E4; F,FR,548,2023-01-04,2023-01-13,HUMPHREYS,,1
Le genre – Cet obscur objet du désordre,Anne-Charlotte; Thomas,19; 42,L; A; A1,FR,549,2023-01-04,2023-07-26,HUSSON; MATHIEU,,1
Le rossignol ne chantera pas,Juliana,42,H; L,FR,554,2023-01-04,2023-01-11,HYRRI,,1
Zhouleika ouvre les yeux,Gouzel,24,,FR,555,2023-01-04,2023-01-04,IAKHINA,,1
Vous n’êtes pas binaire – (personne ne l’est !),Alex; Meg-John,19,A; A1,FR,556,2023-01-04,2023-01-11,IANTAFFI; BARKER,,1
Révoltée,Evguénia,22,U,FR,557,2023-01-04,2023-07-19,IAROSLAVSKAÏA-MARKON,,1
La terreur féministe – Petit éloge du féminisme extrémiste,,32,Q; Q3; A; A3,FR,559,2023-01-04,2023-07-05,IRENE,,2
The chainbreaker; Bike Book - A rough guide to bicycle maintenance,Shelly Lynn; Ethan,8,,FR,560,2023-01-04,2023-01-04,JACKSON; CLARK,,1
Je suis à toi; tu es à moi - Violence et passion conjugale,Maryse,28,,FR,561,2023-01-04,2023-01-04,JASPARD,,1
Écoles anarchistes au Brésil (1889-1920),Regina,12,,FR,563,2023-01-04,2023-01-04,JOMINI-MAZONI,,1
Immersion totale – Nouvelles,Emilie; Céline;Virginie d; Fanny; Refca; Anne; Judith; Rae; ; Nolwenn; Silvie; Carole,24,,FR,564,2023-01-04,2023-01-04,JOUVET; JACQUIER; INDIA; MERTZ; MILHOVITCH; GAILLARD; ALKAN; JOSEPH; ELEGY; GOBRAIT; BROUILLETTE; ARMESTO,,1
Couleur de peau : Miel – Tome 1,,42; 34,L; H; H1,FR,565,2023-01-04,2023-07-26,JUNG,,1
Couleur de peau : Miel – Tome 2,,42; 34,L; H; H1,FR,566,2023-01-04,2023-07-26,JUNG,,1
Couleur de peau : Miel – Tome 3,,42; 34,L; H; H1,FR,567,2023-01-04,2023-07-26,JUNG,,1
Couleur de peau : Miel – Tome 4,,42; 34,L; H; H1,FR,568,2023-01-04,2023-07-26,JUNG,,1
Je suis grosse,Marina,6,,FR,570,2023-01-04,2023-01-04,K.,,1
Le silence des étoiles,Sanaa,42,L,FR,571,2023-01-04,2023-01-11,K.,,1
Sensible,Nedjma,29,A; A2,FR,572,2023-01-04,2023-01-11,KACIMI,,1
Sisters in arms - Militant Feminisms in the Federal Republic of Germany since 1968,Katharina,25,,FR,573,2023-01-04,2023-01-04,KARCHER,,1
Princess; la guerrière – Se battre contre le sida avec courage et espoir,Princess;Belinda,30,G; G5,FR,574,2023-01-04,2023-07-26,KAZUNE ZULU; A. COLLINS,,1
